CCLF File,CCLF Claim Field Label,Claim Field Name,Claim Field Description,FHIR R3 - Mapping,FHIR R3 Additional Info,FHIR R3 - See Also,Data Type,CCW SHORT SAS NAME,CCW LONG SAS NAME
CCLF3,CUR_CLM_UNIQ_ID,Current Claim Unique Identifier,A unique identification number assigned to the claim.,"Not mapped
",The values displayed for Current Claim Unique Identifier in CCLF files are unique to CCLF. There is no direct mapping of CUR_CLM_UNIQ_ID (CCLF) to FHIR ,,CHAR,CLM_ID,CLM_ID
CCLF3,BENE_MBI_ID,Medicare Beneficiary Identifier,A Medicare Beneficiary Identifier assigned to a beneficiary.,Patient.identifier[N].value,"Discriminator =  Patient.identifier[N].system = ""http://hl7.org/fhir/sid/us-mbi"" and Patient.extension[N].valueCoding.code = ""current""

Eob.patient.reference provides logical reference to corresponding Patient resource e.g. /Patient/123.  

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,BENE_ID1,BENE_ID1
CCLF3,BENE_HIC_NUM,Beneficiary HIC Number,"A beneficiary identifier. The HICN that appears in this field is the beneficiary’s current HICN, not necessarily the HICN that was used to process the claim",Not mapped,HICN is not provided,,CHAR,N/A,N/A
CCLF3,CLM_TYPE_CD,Claim Type Code,Signifies the type of claim being submitted through the Medicare or Medicaid programs. ,"Eob.type.coding[N].code
","Discriminator =  type.coding.system = ""https://bluebutton.cms.gov/resources/variables/nch_clm_type_cd""
OR
""https://bluebutton.cms.gov/resources/codesystem/eob-type""
OR
http://hl7.org/fhir/ex-claimtype



type.coding.display = {corresponding description from valueset specified in .system}","See https://bluebutton.cms.gov/resources/codesystem/eob-type/

For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,CLM_TYPE,NCH_CLM_TYPE_CD
CCLF3,CLM_VAL_SQNC_NUM,Claim Value Sequence Number,An arbitrary sequential number that uniquely identifies a procedure code record within the claim.,Eob.procedure[N].sequence,,,NUM,N/A,N/A
CCLF3,CLM_PRCDR_CD,Procedure Code,The ICD-9/10 code that indicates the procedure performed during the period covered by the claim. ,Eob.procedure[N].procedureCodeableConcept.coding.code,"IF DGNS_PRCDR_ICD_IND = ""9"" then Eob.procedure[N}.procedureCodeableConcept.coding.system = ""http://hl7.org/fhir/sid/icd-9""

IF DGNS_PRCDR_ICD_IND = ""10"" then Eob.procedure[N].procedureCodeableConcept.coding.system = ""http://hl7.org/fhir/sid/icd-10""

IF DGNS_PRCDR_ICD_IND = ""U"" then Eob.procedure[N].procedureCodeableConcept.coding.system = ""https://bluebutton.cms.gov/resources/codesystem/diagnosis-type"" ",,CHAR,ICD_PRCDR_CD1,ICD_PRCDR_CD1
CCLF3,CLM_PRCDR_PRFRM_DT,Procedure Performed Date,The date the indicated procedure was performed.,Eob.procedure[N].procedure.date,,,DATE,PRCDR_DT1,PRCDR_DT1
CCLF3,BENE_EQTBL_BIC_HICN_NUM,Beneficiary Equitable BIC HICN Number,"This number is an “umbrella” HICN that groups certain HICNs together at the beneficiary level. For example, if a beneficiary’s spouse becomes widowed, the HICN will change, but the Beneficiary Equitable BIC HICN will not. This groups the pre- and post-widow status HICNs together. Note that the ONLY use of this field is to link together claims that all represent the same event using the natural key.",Not mapped,HICN is not provided,,NUM,N/A,N/A
CCLF3,PRVDR_OSCAR_NUM,Provider OSCAR Number,"A facility’s Medicare/Medicaid identification number. It is also known as a Medicare/Medicaid Provider Number, or CCN. This number verifies that a provider has been Medicare certified for a particular type of services.","Eob.provider.identifier.value
","identifier.system = ""https://bluebutton.cms.gov/resources/variables/prvdr_num""",,CHAR,PROVIDER,PRVDR_NUM
CCLF3,CLM_FROM_DT,Claim From Date,"The first day on the billing statement that covers services rendered to the beneficiary. (AKA ""statement covers from date"")",Eob.billablePeriod.start,,,DATE,FROM_DT,CLM_FROM_DT
CCLF3,CLM_THRU_DT,Claim Thru Date,"The last day on the billing statement that covers services rendered to the beneficiary. (AKA ""statement covers thru date"")",Eob.billablePeriod.end,,,DATE,THRU_DT,CLM_THRU_DT
CCLF3,DGNS_PRCDR_ICD_IND,ICD Version Indicator,"9=ICD-9; 0=ICD-10, U=any value other than 9 or 0 in the source data",Eob.diagnosis[N].diagnosisCodeableConcept.coding[X].system,"When DGNS_PRCDR_ICD_IND=""9"", coding[X].system = ""http://hl7.org/fhir/sid/icd-9-cm""

When DGNS_PRCDR_ICD_IND=""0"", coding[X].system = ""http://hl7.org/fhir/sid/icd-10-cm""

When DGNS_PRCDR_ICD_IND=""U"", coding[X].system = ""https://bluebutton.cms.gov/resources/codesystem/diagnosis-type"" 

",,CHAR,,LINE_ICD_DGNS_VRSN_CD
,,,,,,,,,
CCLF4,CUR_CLM_UNIQ_ID,Current Claim Unique Identifier,A unique identification number assigned to the claim. ,"Not mapped
",The values displayed for Current Claim Unique Identifier in CCLF files are unique to CCLF. There is no direct mapping of CUR_CLM_UNIQ_ID (CCLF) to FHIR ,,CHAR,CLM_ID,CLM_ID
CCLF4,BENE_MBI_ID,Medicare Beneficiary Identifier,A Medicare Beneficiary Identifier assigned to a beneficiary.,Patient.identifier[N].value,"Discriminator =  Patient.identifier[N].system = ""http://hl7.org/fhir/sid/us-mbi"" and Patient.extension[N].valueCoding.code = ""current""

Eob.patient.reference provides logical reference to corresponding Patient resource e.g. /Patient/123.  

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,BENE_ID1,BENE_ID
CCLF4,BENE_HIC_NUM,Beneficiary HIC Number,"A beneficiary identifier. The HICN that appears in this field is the beneficiary’s current HICN, not necessarily the HICN that was used to process the claim.",Not mapped,HICN is not provided,,CHAR,N/A,N/A
CCLF4,CLM_TYPE_CD,Claim Type Code,Signifies the type of claim being submitted through the Medicare or Medicaid programs.,"Eob.type.coding[N].code
","Discriminator =  type.coding.system = ""https://bluebutton.cms.gov/resources/variables/nch_clm_type_cd""
OR
""https://bluebutton.cms.gov/resources/codesystem/eob-type""
OR
http://hl7.org/fhir/ex-claimtype



type.coding.display = {corresponding description from valueset specified in .system}","See https://bluebutton.cms.gov/resources/codesystem/eob-type/

For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,CLM_TYPE,NCH_CLM_TYPE_CD
CCLF4,CLM_PROD_TYPE_CD,Diagnosis Code,Code classifying the diagnosis category.,"Eob.diagnosis[N].type.coding.code
","Discriminator =  Eob.diagnosis[N].type.coding.system = ""https://bluebutton.cms.gov/resources/codesystem/diagnosis-type""

Eob.diagnosis[N].type.coding.display = {corresponding description from valueset specified in .system}

Only the first diagnosis in the list has the type element populated","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",,?,?
CCLF4,CLM_VAL_SQNC_NUM,Claim Value Sequence Number,An arbitrary sequential number that uniquely identifies a procedure code record within the claim.,Eob.diagnosis[N].sequence,,,,N/A,N/A
CCLF4,CLM_DGNS_CD,Diagnosis Code,The ICD-9/10 diagnosis code identifying the beneficiary’s illness or disability.,Eob.diagnosis[N].diagnosisCodeableConcept.coding[X].code,"Discriminator =  Eob.diagnosis[N].type.coding.code = ""principal"" 

When DGNS_PRCDR_ICD_IND=""9"", coding[X].system = ""http://hl7.org/fhir/sid/icd-9-cm""

When DGNS_PRCDR_ICD_IND=""0"", coding[X].system = ""http://hl7.org/fhir/sid/icd-10-cm""

When DGNS_PRCDR_ICD_IND=""U"", coding[X].system = ""https://bluebutton.cms.gov/resources/codesystem/diagnosis-type"" 

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,ICD_DGNS_CD1,ICD_DGNS_CD1
CCLF4,BENE_EQTBL_BIC_HICN_NUM,Beneficiary Equitable BIC HICN Number,"This number is an ""umbrella"" HICN that groups certain HICNs together at the beneficiary level. For example, if a beneficiary's spouse becomes widowed, the HICN will change, but the Beneficiary Equitable BIC HICN will not. This groups the pre- and post-widow status HICNs together. Note that the ONLY use of this field is to link together claims that all represent the same event using the natural key. ",Not mapped,HICN is not provided,,NUM,N/A,N/A
CCLF4,PRVDR_OSCAR_NUM,Provider OSCAR Number,"The OSCAR is a facility’s Medicare/Medicaid identification number. It is also known as a Medicare/Medicaid Provider Number, or CCN. This number verifies that a provider has been Medicare certified for a particular type of services.","Eob.careTeam[N].provider.identifier.value
","identifier.system = ""https://bluebutton.cms.gov/resources/variables/prvdr_num""",,CHAR,PROVIDER,PRVDR_NUM
CCLF4,CLM_FROM_DT,Claim From Date,The first day on the billing statement that covers services rendered to the beneficiary.,Eob.billablePeriod.start,,,DATE,FROM_DT,CLM_FROM_DT
CCLF4,CLM_THRU_DT,Claim Thru Date,The last day on the billing statement that covers services rendered to the beneficiary,Eob.billablePeriod.end,,,DATE,THRU_DT,CLM_THRU_DT
CCLF4,CLM_POA_IND,Claim Present-on-Admission Indicator,Indicates whether a patient had the condition listed on the claim line at the time of admission to the facility.,"Eob.diagnosis[N].extension.valueCoding.code
","Eob.diagnosis.extension[N].url = ""https://bluebutton.cms.gov/resources/variables/clm_poa_ind_sw1""

Eob.diagnosis.extension.valueCoding.display = {corresponding description from valueset indicated in .system}

Eob.diagnosis.extension.valueCoding.system = ""https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-inpatient-clm-poa-ind-sw1-extension""

Extension definition located at: https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-inpatient-clm-poa-ind-sw1-extension.html","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",CHAR,CLM_POA_IND_SW1,CLM_POA_IND_SW1
CCLF4,DGNS_PRCDR_ICD_IND,ICD Version Indicator,"9=ICD-9; 0=ICD-10, U=any value other than 9 or 0 in the source data",Eob.diagnosis[N].diagnosisCodeableConcept.coding[X].system,"When DGNS_PRCDR_ICD_IND=""9"", coding[X].system = ""http://hl7.org/fhir/sid/icd-9-cm""

When DGNS_PRCDR_ICD_IND=""0"", coding[X].system = ""http://hl7.org/fhir/sid/icd-10-cm""

When DGNS_PRCDR_ICD_IND=""U"", coding[X].system = ""https://bluebutton.cms.gov/resources/codesystem/diagnosis-type"" 

",,CHAR,,LINE_ICD_DGNS_VRSN_CD
,,,,,,,,,
CCLF5,CUR_CLM_UNIQ_ID,Current Claim Unique Identifier,A unique identification number assigned to the claim.,"Not mapped
",The values displayed for Current Claim Unique Identifier in CCLF files are unique to CCLF. There is no direct mapping of CUR_CLM_UNIQ_ID (CCLF) to FHIR ,,CHAR,CLM_ID,CLM_ID
CCLF5,CLM_LINE_NUM,Claim Line Number,A sequential number that identifies a specific claim line within a given claim.,Eob.item.sequence,,,NUM,CLM_LN,CLM_LINE_NUM
CCLF5,BENE_MBI_ID,Medicare Beneficiary Identifier,A Medicare Beneficiary Identifier assigned to a beneficiary. ,Patient.identifier[N].value,"Discriminator =  Patient.identifier[N].system = ""http://hl7.org/fhir/sid/us-mbi"" and Patient.extension[N].valueCoding.code = ""current""

Eob.patient.reference provides logical reference to corresponding Patient resource e.g. /Patient/123.  

","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,BENE_ID,BENE_ID
CCLF5,BENE_HIC_NUM,Beneficiary HIC Number,"A beneficiary identifier. The HICN that appears in this field is the beneficiary’s current HICN, not necessarily the HICN that was used to process the claim.",Not mapped,HICN is not provided,"For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,N/A,N/A
CCLF5,CLM_TYPE_CD,Claim Type Code,Signifies the type of claim being submitted through the Medicare or Medicaid programs.,"Eob.type.coding[N].code
","Discriminator =  type.coding.system = ""https://bluebutton.cms.gov/resources/variables/nch_clm_type_cd""
OR
""https://bluebutton.cms.gov/resources/codesystem/eob-type""
OR
http://hl7.org/fhir/ex-claimtype



type.coding.display = {corresponding description from valueset specified in .system}","See https://bluebutton.cms.gov/resources/codesystem/eob-type/

For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,CLM_TYPE,NCH_CLM_TYPE_CD
CCLF5,CLM_FROM_DT,Claim From Date,The first day on the billing statement that covers services rendered to the beneficiary. ,Eob.billablePeriod.start,,,DATE,FROM_DT,CLM_FROM_DT
CCLF5,CLM_THRU_DT,Claim Thru Date,The last day on the billing statement that covers services rendered to the beneficiary.,Eob.billablePeriod.end,,,DATE,THRU_DT,CLM_THRU_DT
CCLF5,RNDRG_PRVDR_TYPE_CD,Rendering Provider Type Code,Indicates the type of provider who provided the service associated with this line item on the claim.  ,"Eob.careTeam.extension[N].valueCoding.code
","Discriminator =  Eob.careTeam.extension[N].valueCoding.system = ""https://bluebutton.cms.gov/resources/variables/carr_line_prvdr_type_cd/""

Eob.careTeam.extension[N].valueCoding.display = {corresponding description from valueset specified in .system}

Extension definition located at https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-carrier-carr-line-prvdr-type-cd-extension.html","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",CHAR,PRV_TYPE,CARR_LINE_PRVDR_TYPE_CD
CCLF5,RNDRG_PRVDR_FIPS_ST_CD,Rendering Provider FIPS State Code,Identifies the state that the provider providing the service is located in.,"Eob.item[N].locationCodeableConcept.extension[N].valueCoding.code
","discriminator =  Eob.item.locationCodeableConcept.extension.valueCoding.system = ""https://bluebutton.cms.gov/resources/variables/prvdr_state_cd""

Eob.item.locationCodeableConcept.extension[N].valueCoding.display = {corresponding description from valueset specified in .system}

Extension defintion located at: https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-carrier-prvdr-state-cd-extension.html","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",CHAR,PRVSTATE,PRVDR_STATE_CD
CCLF5,CLM_PRVDR_SPCLTY_CD,Claim-Line Provider Specialty Code,Indicates the CMS specialty code associated with the provider of services. CMS used this number to price the service on the line-item.  ,Eob.careTeam[N].qualification.coding.code,"Eob.careTeam[N].qualification.coding.system = ""https://bluebutton.cms.gov/resources/variables/prvdr_spclty""

Eob.careTeam[N].qualification.coding.display = {corresponding description from valueset specified in .system}
",,CHAR,HCFASPCL,PRVDR_SPCLTY
CCLF5,CLM_FED_TYPE_SRVC_CD,Claim Federal Type Service Code,"Indicates the type of service (e.g., consultation, surgery) provided to the beneficiary. Types of Service Code are defined in the Medicare Carrier Manual.",Eob.item[N].category.coding.code,"Eob.item[N].category.coding.system = ""https://bluebutton.cms.gov/resources/variables/line_cms_type_srvc_cd""

Eob.item.category[N].coding.display = {corresponding description from valueset specified in .system}
",,CHAR,TYPSRVCB,LINE_CMS_TYPE_SRVC_CD
CCLF5,CLM_POS_CD,Claim Place of Service Code,"Indicates the place where the indicated service was provided (e.g., ambulance, school). Places of service are defined in the Medicare Carrier Manual. ",Eob.item[N].locationCodeableConcept.coding.code,"Eob.item.locationCodeableConcept.coding.system = ""https://bluebutton.cms.gov/resources/variables/line_place_of_srvc_cd""

Eob.item.locationCodeableConcept.coding.display = {corresponding description from valueset specfied in .system}
",,CHAR,PLCSRVC,LINE_PLACE_OF_SRVC_CD
CCLF5,CLM_LINE_FROM_DT,Claim Line From Date,The date the service associated with the line item began.,Eob.item[N].servicedPeriod.start,,,DATE,EXPNSDT1,LINE_1ST_EXPNS_DT
CCLF5,CLM_LINE_THRU_DT,Claim Line Thru Date,The date the service associated with the line item ended.,Eob.item[N].servicedPeriod.end,,,DATE,EXPNSDT2,LINE_LAST_EXPNS_DT
CCLF5,CLM_LINE_HCPCS_CD,HCPCS Code,"The HCPCS code representing the procedure, supply, product, and/or service provided to the beneficiary.","Eob.item[N].service.coding.code
","Discriminator = Eob.item[N].service.coding.system = ""https://bluebutton.cms.gov/resources/codesystem/hcpcs""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,HCPCS_CD,HCPCS_CD
CCLF5,CLM_LINE_CVRD_PD_AMT,Claim Line NCH Payment Amount,The amount of payment made by Medicare on behalf of the beneficiary for the indicated service after deductible and coinsurance amounts have been paid.,Eob.item[N].adjudication[N].amount,"discriminator = Eob.item.adjudication.category.coding.code = ""https://bluebutton.cms.gov/resources/variables/line_nch_pmt_amt""

Eob.item.adjudication.category.coding.system = ""https://bluebutton.cms.gov/resources/codesystem/adjudication""

 Eob.item.adjudication.category.display = ""Line NCH Medicare Payment Amount""
","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",NUM,LINEPMT,LINE_NCH_PMT_AMT
CCLF5,CLM_LINE_PRMRY_PYR_CD,Claim Primary Payer Code,"If a payer other than Medicare has primary responsibility for payment of the service indicated on the claim line, this code indicates the primary payer. This field is also known as the Line Beneficiary Primary Payer Code. If blank, Medicare is the primary payer for the beneficiary.","Eob.item[N].extension[N].valueCoding.code
","discriminator = Eob.item.extension.url = ""https://bluebutton.cms.gov/resources/variables/line_bene_prmry_pyr_cd""

Eob.item.extension.valueCoding.system=""https://bluebutton.cms.gov/resources/variables/line_bene_prmry_pyr_cd""

Eob.item.extension.valueCoding.display = {corresponding description from valuset identified in .system}

Extension definition located at https://bluebutton.cms.gov/assets/ig/StructureDefinition-bluebutton-dme-line-bene-prmry-pyr-cd-extension.html","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",CHAR,LPRPAYCD,LINE_BENE_PRMRY_PYR_CD
CCLF5,CLM_LINE_DGNS_CD,Diagnosis Code,The ICD-9/10 diagnosis code identifying the beneficiary's principal illness or disability. ,Eob.diagnosis[N].diagnosisCodeableConcept.coding.code,Each line item refers to corresponding diagnosis via the link in the line item element e.g. Eob.item[N].diagnosisLinkId ,,CHAR,LINE_ICD_DGNS_CD,LINE_ICD_DGNS_CD
CCLF5,CLM_RNDRG_PRVDR_TAX_NUM,Claim Provider Tax Number,The SSN or Employee Identification Number (EIN) of the provider of the indicated service. This number identifies who receives payment for the indicated service. ,"Eob.careTeam.provider.identifier.value
","discriminator = Eob.careTeam.provider.identifier.system = ""http://terminology.hl7.org/CodeSystem/v2-0203""
","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,TAX_NUM,TAX_NUM
CCLF5,RNDRG_PRVDR_NPI_NUM,Rendering Provider NPI Number,A number that identifies the provider rendering the indicated service on the claim line. Each provider is assigned its own unique NPI.,Eob.careTeam[N].provider.identifier.value,"Discriminator =  
Eob.careTeam[N].role.coding.code=""performing""

Eob.careTeam[N].provider.identifier.system=""http://hl7.org/fhir/sid/us-npi""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,PRFNPI,PRF_PHYSN_NPI
CCLF5,CLM_CARR_PMT_DNL_CD,Claim Carrier Payment Denial Code,"Indicates to whom payment was made (e.g., physician, beneficiary), or if the claim was denied.","Eob.extension[N].valueCoding.code
","Discriminator =   Eob.extension[N].url = ""https://bluebutton.cms.gov/resources/variables/carr_clm_pmt_dnl_cd""

Eob.extension[N].valueCoding.system = ""https://bluebutton.cms.gov/resources/variables/carr_clm_pmt_dnl_cd""

Eob.extension[N].valueCoding.display = {corresponding description from valueset specified in .system}","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab

For information about extensions, see ""Extensions"" in the Glossary tab",CHAR,PMTDNLCD,CARR_CLM_PMT_DNL_CD
CCLF5,CLM_PRCSG_IND_CD,Claim-Line Processing Indicator Code,Indicates whether the service indicated on the claim line was allowed or the reason it was denied.,Eob.item[N].adjudication[N].reason.coding.code,"discriminator = Eob.item.adjudication.reason.coding.system = ""https://bluebutton.cms.gov/resources/variables/line_prcsg_ind_cd""

Eob.item.adjudication.category.code = ""https://bluebutton.cms.gov/resources/variables/line_prcsg_ind_cd""
 Eob.item[N].adjudication[N].reason.coding.display = {corresponding description from valueset specified in .system}
 Eob.item[N].adjudication[N].category.display = ""Line Processing Indicator Code""

Eob.item[N].adjudication[N].category.system=""https://bluebutton.cms.gov/resources/codesystem/adjudication""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,PRCNGIND,LINE_PRCSG_IND_CD
CCLF5,CLM_ADJSMT_TYPE_CD,Claim Adjustment Type Code,"Indicates whether the claim an original, cancelation, or adjustment claim.",Eob.status,,,CHAR,N/A,N/A
CCLF5,CLM_EFCTV_DT,Claim Effective Date,The date the claim was processed and added to the NCH. This is also referred to as the NCH Weekly Processing Date.,Eob.information[N].timingDate,"Discriminator =  information[N].category.coding.code = ""https://bluebutton.cms.gov/resources/variables/nch_wkly_proc_dt/""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",DATE,WKLY_DT,NCH_WKLY_PROC_DT
CCLF5,CLM_IDR_LD_DT,Claim IDR Load Date,When the claim was loaded into the IDR.,Not mapped,,,DATE,N/A,N/A
CCLF5,CLM_CNTL_NUM,Claim Control Number,A unique number assigned to a claim by the Medicare carrier. This number allows CMS to associate each line item with its respective claim.,"Eob.identifier[N].value
","Discriminator =  Eob.identifier[N].system = ""https://bluebutton.cms.gov/resources/variables/clm_id""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",NUM,CLM_ID,CLM_ID
CCLF5,BENE_EQTBL_BIC_HICN_NUM,Beneficiary Equitable BIC HICN Number,"This number is an ""umbrella"" HICN that groups certain HICNs together at the beneficiary level. For example, if a beneficiary's spouse becomes widowed, the HICN will change, but the Beneficiary Equitable BIC HICN will not. This groups the pre- and post-widow status HICNs together. Note that the ONLY use of this field is to link together claims that all represent the same event using the natural key. ",Not mapped,HICN is not provided,,NUM,N/A,N/A
CCLF5,CLM_LINE_ALOWD_CHRG_AMT,Claim Line Allowed Charges Amount,The amount Medicare approved for payment to the provider.,Eob.item[N].adjudication[N].amount.value,"discriminator = Eob.item[N].adjudication[N].category.coding.code = ""https://bluebutton.cms.gov/resources/variables/line_alowd_chrg_amt""

Eob.item[N].adjudication[N].amount.system = ""urn:iso:std:iso:4217"" 

Eob.item[N].adjudication[N].amount.code = ""USD""
 
Eob.item[N].adjudication[N].category.system = ""https://bluebutton.cms.gov/resources/codesystem/adjudication""
 Eob.item[N].adjudication[N].category.display = ""Line Allowed Charge Amount""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",NUM,LALOWCHG,LINE_ALOWD_CHRG_AMT
CCLF5,CLM_LINE_SRVC_UNIT_QTY,Claim Line Service Unit Quantity,"Count of total units, at the line-item level, associated with services needing unit reporting (e.g., anesthesia time units and blood units).",Eob.item[N].quantity.value,,,NUM,SRVC_CNT,LINE_SRVC_CNT
CCLF5,HCPCS_1_MDFR_CD,HCPCS First Modifier Code,The first code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,"Eob.item[N].modifier[N].coding.code
 ","Discriminator =  Eob.item[N].modifier[N].coding.system = ""https://bluebutton.cms.gov/resources/codesystem/hcpcs""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,MDFR_CD1,HCPCS_1ST_MDFR_CD
CCLF5,HCPCS_2_MDFR_CD,HCPCS Second Modifier Code,The second code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,"Eob.item[N].modifier[N].coding.code
 ","Discriminator =  Eob.item[N].modifier[N].coding.system = ""https://bluebutton.cms.gov/resources/codesystem/hcpcs""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,MDFR_CD2,HCPCS_2ND_MDFR_CD
CCLF5,HCPCS_3_MDFR_CD,HCPCS Third Modifier Code,The third code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,"Eob.item[N].modifier[N].coding.code
 ","Discriminator =  Eob.item[N].modifier[N].coding.system = ""https://bluebutton.cms.gov/resources/codesystem/hcpcs""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,MDFR_CD3,HCPCS_3RD_MDFR_CD
CCLF5,HCPCS_4_MDFR_CD,HCPCS Fourth Modifier Code,The fourth code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,"Eob.item[N].modifier[N].coding.code
 ","Discriminator =  Eob.item[N].modifier[N].coding.system = ""https://bluebutton.cms.gov/resources/codesystem/hcpcs""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,MDFR_CD4,HCPCS_4TH_MDFR_CD
CCLF5,HCPCS_5_MDFR_CD,HCPCS Fifth Modifier Code,The fifth code to modify the HCPCS procedure code associated with the claim-line. This provides more specific procedure identification for the line item service.,"Eob.item[N].modifier[N].coding.code
 ","Discriminator =  Eob.item[N].modifier[N].coding.system = ""https://bluebutton.cms.gov/resources/codesystem/hcpcs""","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,MDFR_CD5,HCPCS_5TH_MDFR_CD
CCLF5,CLM_DISP_CD,Claim Disposition Code,"Information regarding payment actions on the claim. (01=accepted, 02=accepted (automatic adjustment), 03=cancel accepted)",Eob.disposition,,,CHAR,DISP_CD,CLM_DISP_CD
CCLF5,CLM_DGNS_1_CD,Claim Diagnosis First Code,The first of 12 allowable ICD-9/10 diagnosis code identifying the beneficiary’s illness or disability.,Eob.diagnosis[N].diagnosisCodeableConcept.coding.code,"Discriminator =  Eob.diagnosis[N].sequence = {corresponding number in column B}.  For example, CLM_DGNS_1_CD = Eob.diagnosis[N].sequence = 1","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,ICD_DGNS_CD1,ICD_DGNS_CD1
CCLF5,CLM_DGNS_2_CD,Claim Diagnosis Second Code,The second of 12 allowable ICD-9/10 diagnosis code identifying the beneficiary's illness or disability.,Eob.diagnosis[N].diagnosisCodeableConcept.coding.code,"Discriminator =  Eob.diagnosis[N].sequence = {corresponding number in column B}.  For example, CLM_DGNS_1_CD = Eob.diagnosis[N].sequence = 2","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,ICD_DGNS_CD2,ICD_DGNS_CD2
CCLF5,CLM_DGNS_3_CD,Claim Diagnosis Third Code,The third of 12 allowable ICD-9/10 diagnosis code identifying the beneficiary's illness or disability.,Eob.diagnosis[N].diagnosisCodeableConcept.coding.code,"Discriminator =  Eob.diagnosis[N].sequence = {corresponding number in column B}.  For example, CLM_DGNS_1_CD = Eob.diagnosis[N].sequence = 3","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,ICD_DGNS_CD3,ICD_DGNS_CD3
CCLF5,CLM_DGNS_4_CD,Claim Diagnosis Fourth Code,The fourth of 12 allowable ICD-9/10 diagnosis code identifying the beneficiary's illness or disability.,Eob.diagnosis[N].diagnosisCodeableConcept.coding.code,"Discriminator =  Eob.diagnosis[N].sequence = {corresponding number in column B}.  For example, CLM_DGNS_1_CD = Eob.diagnosis[N].sequence = 4","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,ICD_DGNS_CD4,ICD_DGNS_CD4
CCLF5,CLM_DGNS_5_CD,Claim Diagnosis Fifth Code,The fifth of 12 allowable ICD-9/10 diagnosis code identifying the beneficiary's illness or disability.,Eob.diagnosis[N].diagnosisCodeableConcept.coding.code,"Discriminator =  Eob.diagnosis[N].sequence = {corresponding number in column B}.  For example, CLM_DGNS_1_CD = Eob.diagnosis[N].sequence = 5","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,ICD_DGNS_CD5,ICD_DGNS_CD5
CCLF5,CLM_DGNS_6_CD,Claim Diagnosis Sixth Code,The sixth of 12 allowable ICD-9/10 diagnosis code identifying the beneficiary's illness or disability.,Eob.diagnosis[N].diagnosisCodeableConcept.coding.code,"Discriminator =  Eob.diagnosis[N].sequence = {corresponding number in column B}.  For example, CLM_DGNS_1_CD = Eob.diagnosis[N].sequence = 6","For information about list elements and discriminators, see ""Slicing"" in the Glossary tab",CHAR,ICD_DGNS_CD6,ICD_DGNS_CD6
